,animal_id,animal_type,outcome_type
50132,A741222,Other,Euthanasia
50133,A746757,Cat,Adoption
50134,A701948,Cat,Adoption
50135,A760431,Cat,Transfer
50136,A730818,Cat,Adoption
50137,A711801,Cat,Transfer
50138,A756121,Dog,Transfer
50139,A704967,Cat,Adoption
50140,A712455,Dog,Adoption
50141,A733619,Dog,Adoption
50142,A711433,Dog,Return to Owner
50143,A707132,Cat,Adoption
50144,A713004,Cat,Adoption
50145,A701697,Cat,Adoption
50146,A454384,Dog,Return to Owner
50147,A728126,Dog,Adoption
50148,A355753,Dog,Adoption
50149,A694129,Dog,Return to Owner
50150,A738283,Dog,Return to Owner
50151,A717155,Dog,Adoption
50152,A739406,Cat,Transfer
50153,A750347,Other,Transfer
50154,A703504,Dog,Euthanasia
50155,A726219,Dog,Transfer
50156,A707046,Dog,Transfer
50157,A718291,Dog,Adoption
50158,A748375,Dog,Return to Owner
50159,A756455,Dog,Adoption
50160,A749026,Dog,Transfer
50161,A756219,Cat,Transfer
50162,A718145,Dog,Return to Owner
50163,A759363,Other,Died
50164,A713706,Dog,Return to Owner
50165,A730100,Cat,Adoption
50166,A737582,Cat,Adoption
50167,A684920,Dog,Adoption
50168,A755554,Other,Euthanasia
50169,A733898,Dog,Adoption
50170,A729407,Cat,Transfer
50171,A734375,Dog,Adoption
50172,A714665,Dog,Adoption
50173,A739038,Dog,Transfer
50174,A733356,Dog,Transfer
50175,A712307,Dog,Adoption
50176,A721679,Cat,Adoption
50177,A706068,Cat,Transfer
50178,A713853,Cat,Adoption
50179,A731126,Dog,Adoption
50180,A732136,Cat,Euthanasia
50181,A742655,Other,Euthanasia
50182,A738245,Cat,Return to Owner
50183,A711261,Dog,Adoption
50184,A736377,Dog,Adoption
50185,A751826,Cat,Adoption
50186,A688610,Dog,Transfer
50187,A712007,Dog,Return to Owner
50188,A702362,Cat,Euthanasia
50189,A749332,Cat,Transfer
50190,A745436,Other,Euthanasia
50191,A736249,Dog,Adoption
50192,A577639,Dog,Return to Owner
50193,A750500,Other,Euthanasia
50194,A335778,Dog,Return to Owner
50195,A757624,Dog,Transfer
50196,A702440,Cat,Adoption
50197,A710395,Dog,Adoption
50198,A710961,Dog,Adoption
50199,A763204,Cat,Return to Owner
50200,A711545,Cat,Adoption
50201,A723267,Dog,Adoption
50202,A701148,Dog,Adoption
50203,A736465,Cat,Adoption
50204,A752364,Dog,Adoption
50205,A708824,Cat,Transfer
50206,A714493,Dog,Transfer
50207,A717146,Cat,Adoption
50208,A730683,Dog,Adoption
50209,A727471,Cat,Adoption
50210,A725746,Other,Euthanasia
50211,A724658,Other,Adoption
50212,A760301,Cat,Transfer
50213,A669236,Cat,Adoption
50214,A722486,Other,Euthanasia
50215,A707231,Cat,Adoption
50216,A706658,Dog,Transfer
50217,A716128,Cat,Adoption
50218,A751326,Cat,Adoption
50219,A712189,Dog,Return to Owner
50220,A669900,Dog,Adoption
50221,A751012,Other,Transfer
50222,A702391,Cat,Adoption
50223,A728219,Dog,Adoption
50224,A747046,Dog,Adoption
50225,A759621,Dog,Transfer
50226,A738207,Dog,Adoption
50227,A758616,Cat,Transfer
50228,A737896,Dog,Return to Owner
50229,A703121,Dog,Return to Owner
50230,A709098,Dog,Adoption
50231,A762118,Dog,Adoption
50232,A714273,Cat,Euthanasia
50233,A704227,Cat,Adoption
50234,A716940,Cat,Euthanasia
50235,A708402,Cat,Transfer
50236,A749928,Dog,Adoption
50237,A723418,Cat,Transfer
50238,A733856,Dog,Adoption
50239,A704695,Cat,Transfer
50240,A739297,Dog,Transfer
50241,A762392,Dog,Transfer
50242,A753186,Dog,Adoption
50243,A719594,Cat,Adoption
50244,A722315,Other,Euthanasia
50245,A722189,Other,Adoption
50246,A706742,Cat,Adoption
50247,A735496,Cat,Adoption
50248,A742761,Dog,Adoption
50249,A722938,Dog,Return to Owner
50250,A756049,Cat,Adoption
50251,A758583,Cat,Adoption
50252,A733878,Dog,Adoption
50253,A706690,Dog,Adoption
50254,A713208,Dog,Adoption
50255,A718890,Dog,Adoption
50256,A717764,Dog,Transfer
50257,A709973,Cat,Adoption
50258,A704398,Other,Transfer
50259,A544831,Dog,Adoption
50260,A734034,Cat,Adoption
50261,A761396,Dog,Adoption
50262,A738659,Dog,Return to Owner
50263,A715682,Dog,Return to Owner
50264,A743682,Other,Euthanasia
50265,A735389,Other,Euthanasia
50266,A729125,Dog,Adoption
50267,A726697,Dog,Adoption
50268,A745194,Dog,Transfer
50269,A763179,Dog,Adoption
50270,A705163,Dog,Transfer
50271,A727619,Dog,Return to Owner
50272,A706147,Dog,Return to Owner
50273,A712130,Dog,Return to Owner
50274,A720726,Other,Adoption
50275,A727968,Cat,Transfer
50276,A712427,Dog,Adoption
50277,A659644,Dog,Return to Owner
50278,A715257,Dog,Adoption
50279,A725557,Dog,Return to Owner
50280,A737279,Cat,Adoption
50281,A719213,Cat,Adoption
50282,A718632,Dog,Transfer
50283,A705107,Cat,Transfer
50284,A756039,Dog,Return to Owner
50285,A752588,Cat,Adoption
50286,A746072,Dog,Adoption
50287,A752862,Dog,Adoption
50288,A714074,Cat,Transfer
50289,A743235,Dog,Adoption
50290,A760009,Cat,Transfer
50291,A633994,Dog,Adoption
50292,A730176,Cat,Adoption
50293,A716904,Dog,Return to Owner
50294,A721563,Cat,Transfer
50295,A728149,Cat,Euthanasia
50296,A721963,Dog,Adoption
50297,A702007,Dog,Transfer
50298,A731468,Cat,Transfer
50299,A724269,Dog,Adoption
50300,A748251,Dog,Return to Owner
50301,A718119,Dog,Transfer
50302,A702010,Cat,Adoption
50303,A703863,Cat,Transfer
50304,A710396,Dog,Transfer
50305,A741141,Cat,Adoption
50306,A737272,Dog,Transfer
50307,A760996,Dog,Transfer
50308,A756922,Dog,Adoption
50309,A709577,Dog,Adoption
50310,A722478,Dog,Adoption
50311,A499387,Cat,Adoption
50312,A715798,Cat,Transfer
50313,A755313,Dog,Adoption
50314,A748787,Cat,Transfer
50315,A700898,Dog,Adoption
50316,A721857,Cat,Euthanasia
50317,A755020,Cat,Return to Owner
50318,A524634,Dog,Adoption
50319,A730377,Dog,Adoption
50320,A730928,Cat,Transfer
50321,A713483,Cat,Transfer
50322,A743533,Dog,Adoption
50323,A709355,Dog,Adoption
50324,A729563,Dog,Adoption
50325,A742664,Dog,Adoption
50326,A727990,Cat,Adoption
50327,A702451,Dog,Adoption
50328,A761071,Cat,Adoption
50329,A706487,Cat,Transfer
50330,A726209,Dog,Return to Owner
50331,A726203,Dog,Adoption
50332,A617161,Dog,Adoption
50333,A700575,Cat,Transfer
50334,A704022,Cat,Transfer
50335,A750671,Cat,Adoption
50336,A757955,Cat,Adoption
50337,A755262,Cat,Transfer
50338,A695830,Dog,Return to Owner
50339,A701982,Cat,Adoption
50340,A746413,Dog,Return to Owner
50341,A708810,Dog,Transfer
50342,A746880,Dog,Return to Owner
50343,A743424,Dog,Adoption
50344,A453102,Dog,Adoption
