,Animal ID,Type,Outcome Type
8887,A391993,Dog,Euthanize
8888,A366614,Dog,Adoption
8889,A315294,Dog,Transfer
8890,A346968,Dog,Adoption
8891,A342292,Cat,Adoption
8892,A311181,Cat,Adoption
8893,A301591,Cat,Adoption
8894,A364787,Other,Adoption
8895,A378290,Dog,Transfer
8896,A345771,Cat,Return To Owner
8897,A340691,Cat,Euthanize
8898,A352595,Cat,Adoption
8899,A376181,Cat,Transfer
8900,A337903,Cat,Adoption
8901,A356729,Cat,Adoption
8902,A308087,Dog,Adoption
8903,A355634,Cat,Adoption
8904,A374575,Dog,Euthanize
8905,A322480,Cat,Adoption
8906,A264728,Dog,Return To Owner
8907,A374227,Cat,Transfer
8908,A323837,Dog,Transfer
8909,A370494,Cat,Euthanize
8910,A375303,Dog,Return To Owner
8911,A382011,Dog,Adoption
8912,A373966,Dog,Return To Owner
8913,A306025,Dog,Return To Owner
8914,A369199,Dog,Return To Owner
8915,A349740,Dog,Transfer
8916,A337130,Dog,Return To Owner
8917,A264966,Dog,Return To Owner
8918,A377597,Dog,Adoption
8919,A339034,Cat,Euthanize
8920,A264449,Dog,Return To Owner
8921,A356734,Cat,Adoption
8922,A331643,Dog,Return To Owner
8923,A341686,Cat,Euthanize
8924,A389163,Dog,Return To Owner
8925,A344440,Dog,Adoption
8926,A372516,Dog,Adoption
8927,A321244,Dog,Return To Owner
8928,A328742,Dog,Return To Owner
8929,A312729,Dog,Adoption
8930,A337610,Cat,Return To Owner
8931,A329927,Dog,Return To Owner
8932,A333880,Dog,Adoption
8933,A304300,Dog,Return To Owner
8934,A374061,Cat,Euthanize
8935,A391181,Dog,Return To Owner
8936,A324356,Cat,Return To Owner
8937,A306145,Cat,Transfer
8938,A301326,Cat,Disposal
8939,A362588,Cat,Adoption
8940,A338063,Dog,Return To Owner
8941,A348523,Dog,Adoption
8942,A354042,Dog,Return To Owner
8943,A339484,Cat,Euthanize
8944,A350929,Cat,Adoption
8945,A375952,Other,Adoption
8946,A347162,Dog,Return To Owner
8947,A329933,Cat,Adoption
8948,A386792,Dog,Return To Owner
8949,A339430,Cat,Adoption
8950,A305108,Dog,Return To Owner
8951,A353888,Dog,Transfer
8952,A329403,Dog,Return To Owner
8953,A392048,Dog,Return To Owner
8954,A375393,Dog,Transfer
8955,A310391,Dog,Return To Owner
8956,A381835,Cat,Transfer
8957,A310301,Dog,Return To Owner
8958,A338198,Cat,Adoption
8959,A366562,Cat,Disposal
8960,A373991,Dog,Adoption
8961,A363669,Cat,Euthanize
8962,A291778,Dog,Return To Owner
8963,A302230,Other,Euthanize
8964,A278977,Dog,Return To Owner
8965,A344141,Cat,Adoption
8966,A317558,Cat,Adoption
8967,A325080,Dog,Return To Owner
8968,A334810,Cat,Adoption
